chromosome	start	end	strand	C%+G%	Obs/Exp	CG_count	len
chr1	10469	11482	+	71.67	0.96	124.0	1013	
chr1	28660	30030	+	67.96	0.81	125.0	1370	
chr1	436666	438226	+	66.6	0.62	104.0	1560	
chr1	441917	442502	+	57.44	0.85	41.0	585	
chr1	449243	450591	+	61.2	0.82	103.0	1348	
chr1	532733	534438	+	59.0	0.84	125.0	1705	
chr1	540416	540993	+	57.19	0.87	41.0	577	
chr1	544678	547942	+	65.59	0.67	223.0	3264	
chr1	713773	715123	+	59.48	0.78	93.0	1350	
chr1	762175	763552	+	66.96	0.9	137.0	1377	
chr1	788815	789365	+	52.91	0.88	34.0	550	
chr1	801819	802586	+	63.36	0.72	41.0	767	
chr1	834183	835134	+	56.15	0.63	47.0	951	
chr1	839106	841406	+	67.17	0.71	183.0	2300	
chr1	844281	846642	+	70.27	0.67	194.0	2361	
chr1	858362	861909	+	71.24	0.82	368.0	3547	
chr1	869289	870461	+	72.27	0.81	99.0	1172	
chr1	875606	878364	+	73.5	0.76	282.0	2758	
chr1	893067	897615	+	66.86	0.78	397.0	4548	
chr1	899158	901064	+	66.42	0.6	125.0	1906	
chr1	901195	902655	+	69.86	0.6	107.0	1460	
chr1	911362	913816	+	73.23	0.69	191.0	2454	
chr1	920050	920797	+	53.01	0.61	31.0	747	
chr1	933388	937706	+	72.02	0.82	460.0	4318	
chr1	952335	952978	+	53.34	0.7	32.0	643	
chr1	954769	957000	+	75.89	0.72	232.0	2231	
chr1	967967	970364	+	73.93	0.69	224.0	2397	
chr1	975400	977589	+	74.6	0.76	229.0	2189	
chr1	978398	980306	+	65.93	0.65	132.0	1908	
chr1	994352	995600	+	71.47	0.74	117.0	1248	
chr1	996098	996651	+	57.87	0.69	32.0	553	
chr1	1002664	1003419	+	71.26	0.73	70.0	755	
chr1	1003529	1005554	+	70.02	0.71	175.0	2025	
chr1	1043528	1044452	+	61.9	0.62	43.0	924	
chr1	1045871	1046380	+	59.14	0.8	35.0	509	
chr1	1049747	1050892	+	54.93	0.67	58.0	1145	
chr1	1051049	1052463	+	73.97	0.89	172.0	1414	
chr1	1064794	1065373	+	54.58	0.64	27.0	579	
chr1	1066742	1067254	+	56.64	0.87	35.0	512	
chr1	1072019	1073018	+	71.17	0.64	80.0	999	
chr1	1099754	1101078	+	65.03	0.61	85.0	1324	
chr1	1109145	1110492	+	62.21	0.63	82.0	1347	
chr1	1132810	1133373	+	73.0	0.7	51.0	563	
chr1	1141446	1142407	+	68.78	0.66	75.0	961	
chr1	1152075	1153356	+	63.86	0.82	107.0	1281	
chr1	1157451	1158734	+	62.74	0.65	79.0	1283	
chr1	1166535	1169216	+	69.45	1.01	327.0	2681	
chr1	1180873	1182555	+	71.88	0.6	130.0	1682	
chr1	1189397	1189938	+	70.06	0.75	50.0	541	
chr1	1190523	1191027	+	60.91	0.73	34.0	504	
chr1	1191747	1192569	+	59.85	0.61	45.0	822	
chr1	1194362	1195340	+	59.92	0.61	53.0	978	
chr1	1197089	1197728	+	55.4	0.65	31.0	639	
chr1	1203167	1203910	+	62.05	0.67	47.0	743	
chr1	1208098	1209943	+	71.0	0.81	188.0	1845	
chr1	1214313	1215193	+	56.48	0.6	42.0	880	
chr1	1215355	1215927	+	53.32	0.72	29.0	572	
chr1	1223107	1225613	+	69.79	0.88	245.0	2506	
chr1	1228721	1230247	+	73.53	0.74	152.0	1526	
chr1	1231465	1232328	+	69.06	0.61	62.0	863	
chr1	1242161	1245222	+	71.38	0.91	355.0	3061	
chr1	1259644	1260636	+	75.5	0.87	123.0	992	
chr1	1264761	1265665	+	56.97	0.88	63.0	904	
chr1	1275092	1276062	+	65.15	0.6	61.0	970	
chr1	1276220	1277185	+	57.93	0.72	51.0	965	
chr1	1283934	1287090	+	77.15	0.82	354.0	3156	
chr1	1288772	1291306	+	71.23	0.7	222.0	2534	
chr1	1305085	1305734	+	52.39	0.72	32.0	649	
chr1	1308934	1311319	+	64.99	0.75	188.0	2385	
chr1	1313483	1314247	+	52.62	0.66	34.0	764	
chr1	1322236	1323370	+	61.2	0.61	64.0	1134	
chr1	1333907	1335722	+	66.39	0.89	177.0	1815	
chr1	1341463	1343639	+	63.83	0.85	184.0	2176	
chr1	1344177	1344782	+	55.7	0.6	28.0	605	
chr1	1353426	1354004	+	56.92	0.66	31.0	578	
chr1	1354452	1356332	+	73.19	0.63	157.0	1880	
chr1	1362200	1363339	+	73.92	0.8	103.0	1139	
chr1	1370768	1371846	+	73.65	0.84	119.0	1078	
chr1	1374061	1375655	+	72.52	0.72	150.0	1594	
chr1	1406845	1407990	+	70.31	1.02	143.0	1145	
chr1	1408104	1409165	+	52.87	0.72	53.0	1061	
chr1	1409302	1409878	+	56.77	0.65	30.0	576	
chr1	1413925	1414744	+	65.45	0.61	53.0	819	
chr1	1419008	1419954	+	54.65	0.61	43.0	946	
chr1	1434390	1434903	+	54.39	0.61	23.0	513	
chr1	1435034	1435930	+	55.47	0.62	43.0	896	
chr1	1445811	1446421	+	51.15	0.7	28.0	610	
chr1	1446840	1448604	+	69.05	0.92	192.0	1764	
chr1	1451052	1451822	+	58.44	0.61	38.0	770	
chr1	1473002	1474672	+	58.74	0.6	86.0	1670	
chr1	1474796	1477196	+	73.17	0.71	227.0	2400	
chr1	1496520	1497028	+	57.87	0.68	28.0	508	
chr1	1506113	1506807	+	53.75	0.64	32.0	694	
chr1	1507014	1507682	+	51.35	0.69	30.0	668	
chr1	1509275	1510993	+	64.09	1.07	188.0	1718	
chr1	1521745	1523051	+	53.14	0.69	63.0	1306	
chr1	1533638	1536473	+	71.57	0.77	280.0	2835	
chr1	1549605	1552597	+	66.61	0.78	260.0	2992	
chr1	1564355	1567133	+	73.36	0.72	258.0	2778	
chr1	1567245	1570248	+	72.06	0.64	251.0	3003	
chr1	1576492	1577061	+	57.12	0.69	32.0	569	
chr1	1579988	1581089	+	55.5	0.85	71.0	1101	
chr1	1585988	1586501	+	54.0	0.65	24.0	513	
chr1	1589440	1591306	+	57.18	0.94	143.0	1866	
chr1	1591627	1592243	+	53.73	0.77	34.0	616	
chr1	1600946	1601719	+	57.44	0.63	40.0	773	
chr1	1602298	1603378	+	57.13	0.6	53.0	1080	
chr1	1617801	1618951	+	52.61	0.64	51.0	1150	
chr1	1623161	1626020	+	62.26	0.86	239.0	2859	
chr1	1630249	1633403	+	67.5	0.65	235.0	3154	
chr1	1639702	1640271	+	56.94	0.65	30.0	569	
chr1	1643203	1644305	+	55.72	0.84	71.0	1102	
chr1	1649414	1650372	+	50.94	0.63	39.0	958	
chr1	1654713	1656594	+	56.57	0.9	136.0	1881	
chr1	1656916	1657908	+	53.73	0.72	51.0	992	
chr1	1664682	1665201	+	56.26	0.67	27.0	519	
chr1	1666574	1667112	+	52.23	0.65	24.0	538	
chr1	1673076	1673658	+	54.81	0.67	29.0	582	
chr1	1676091	1678679	+	62.6	0.84	213.0	2588	
chr1	1700577	1701283	+	52.69	0.61	30.0	706	
chr1	1709358	1711080	+	71.43	0.82	179.0	1722	
chr1	1713214	1714142	+	64.44	0.63	61.0	928	
chr1	1739060	1739742	+	54.4	0.69	34.0	682	
chr1	1783200	1783966	+	53.0	0.69	37.0	766	
chr1	1821186	1823562	+	73.44	0.91	291.0	2376	
chr1	1839959	1841429	+	70.07	0.85	151.0	1470	
chr1	1849366	1851485	+	69.23	0.61	154.0	2119	
chr1	1861513	1862121	+	60.03	0.6	32.0	608	
chr1	1863227	1863824	+	54.61	0.64	28.0	597	
chr1	1867516	1868124	+	52.8	0.6	25.0	608	
chr1	1872244	1872857	+	57.26	0.62	31.0	613	
chr1	1877299	1877832	+	59.1	0.66	28.0	533	
chr1	1886345	1887441	+	62.04	0.62	65.0	1096	
chr1	1897283	1898113	+	61.81	0.6	47.0	830	
chr1	1910039	1913879	+	65.08	0.75	304.0	3840	
chr1	1914105	1915631	+	58.72	0.61	80.0	1526	
chr1	1934943	1935937	+	63.38	0.66	65.0	994	
chr1	1941390	1942129	+	53.32	0.6	31.0	739	
chr1	1950188	1951516	+	76.13	0.81	156.0	1328	
chr1	1959307	1959904	+	66.67	0.74	48.0	597	
chr1	1975973	1977049	+	65.06	0.74	84.0	1076	
chr1	1981121	1983362	+	71.58	0.83	236.0	2241	
chr1	1986003	1986634	+	55.63	0.87	42.0	631	
chr1	1998605	1999196	+	60.58	0.61	32.0	591	
chr1	2004743	2005911	+	64.98	0.62	76.0	1168	
chr1	2015177	2015995	+	53.79	0.76	45.0	818	
chr1	2025589	2026245	+	69.21	0.77	60.0	656	
chr1	2045940	2046866	+	55.94	0.7	51.0	926	
chr1	2053090	2055845	+	60.8	1.29	188.0	2755	
chr1	2063685	2065654	+	63.64	0.6	120.0	1969	
chr1	2102953	2103883	+	60.65	0.6	51.0	930	
chr1	2107045	2107862	+	61.69	0.66	49.0	817	
chr1	2111616	2112666	+	63.05	0.61	63.0	1050	
chr1	2115951	2116998	+	60.46	0.67	64.0	1047	
chr1	2135251	2138325	+	66.69	0.61	205.0	3074	
chr1	2157733	2162134	+	72.98	0.84	491.0	4401	
chr1	2206609	2207253	+	60.4	0.6	35.0	644	
chr1	2208826	2209516	+	55.07	0.64	32.0	690	
chr1	2211874	2214725	+	62.86	0.81	217.0	2851	
chr1	2222176	2222722	+	57.51	0.71	32.0	546	
chr1	2236443	2238447	+	67.02	0.73	162.0	2004	
chr1	2238586	2239428	+	56.65	0.81	54.0	842	
chr1	2245208	2247112	+	72.48	0.65	162.0	1904	
chr1	2253724	2254786	+	68.17	0.62	76.0	1062	
chr1	2265594	2266433	+	61.86	0.6	47.0	839	
chr1	2273565	2274149	+	60.27	0.64	34.0	584	
chr1	2279055	2280347	+	63.31	0.72	92.0	1292	
chr1	2285380	2285964	+	54.79	0.63	27.0	584	
chr1	2316286	2316990	+	66.62	0.64	50.0	704	
