chromosome	start	end	strand	C%+G%	Obs/Exp	len	gene_id
chr1	gene	436666	438226	+	66.6	0.62	104.0	RP4-669L17.10
chr1	transcript	436666	438226	+	66.6	0.62	104.0	RP4-669L17.10
chr1	gene	441917	442502	+	57.44	0.85	41.0	RP4-669L17.10
chr1	transcript	441917	442502	+	57.44	0.85	41.0	RP4-669L17.10
chr1	gene	449243	450591	+	61.2	0.82	103.0	RP4-669L17.10
chr1	transcript	449243	450591	+	61.2	0.82	103.0	RP4-669L17.10
chr1	gene	788815	789365	+	52.91	0.88	34.0	LINC01128
chr1	transcript	788815	789365	+	52.91	0.88	34.0	LINC01128
chr1	exon	788815	789365	+	52.91	0.88	34.0	LINC01128
chr1	gene	844281	846642	+	70.27	0.67	194.0	RP11-54O7.16
chr1	transcript	844281	846642	+	70.27	0.67	194.0	RP11-54O7.16
chr1	gene	869289	870461	+	72.27	0.81	99.0	SAMD11
chr1	transcript	869289	870461	+	72.27	0.81	99.0	SAMD11
chr1	gene	875606	878364	+	73.5	0.76	282.0	SAMD11
chr1	transcript	875606	878364	+	73.5	0.76	282.0	SAMD11
chr1	gene	899158	901064	+	66.42	0.6	125.0	KLHL17
chr1	transcript	899158	901064	+	66.42	0.6	125.0	KLHL17
chr1	gene	967967	970364	+	73.93	0.69	224.0	AGRN
chr1	transcript	967967	970364	+	73.93	0.69	224.0	AGRN
chr1	gene	975400	977589	+	74.6	0.76	229.0	AGRN
chr1	transcript	975400	977589	+	74.6	0.76	229.0	AGRN
chr1	gene	978398	980306	+	65.93	0.65	132.0	AGRN
chr1	transcript	978398	980306	+	65.93	0.65	132.0	AGRN
chr1	gene	996098	996651	+	57.87	0.69	32.0	RP11-465B22.3
chr1	transcript	996098	996651	+	57.87	0.69	32.0	RP11-465B22.3
chr1	gene	1002664	1003419	+	71.26	0.73	70.0	RP11-465B22.3
chr1	transcript	1002664	1003419	+	71.26	0.73	70.0	RP11-465B22.3
chr1	gene	1214313	1215193	+	56.48	0.6	42.0	RP5-902P8.10
chr1	transcript	1214313	1215193	+	56.48	0.6	42.0	RP5-902P8.10
chr1	gene	1223107	1225613	+	69.79	0.88	245.0	SCNN1D
chr1	transcript	1223107	1225613	+	69.79	0.88	245.0	SCNN1D
chr1	gene	1370768	1371846	+	73.65	0.84	119.0	VWA1
chr1	transcript	1370768	1371846	+	73.65	0.84	119.0	VWA1
chr1	gene	1374061	1375655	+	72.52	0.72	150.0	VWA1
chr1	transcript	1374061	1375655	+	72.52	0.72	150.0	VWA1
chr1	gene	1408104	1409165	+	52.87	0.72	53.0	ATAD3B
chr1	transcript	1408104	1409165	+	52.87	0.72	53.0	ATAD3B
chr1	gene	1409302	1409878	+	56.77	0.65	30.0	ATAD3B
chr1	transcript	1409302	1409878	+	56.77	0.65	30.0	ATAD3B
chr1	gene	1413925	1414744	+	65.45	0.61	53.0	ATAD3B
chr1	transcript	1413925	1414744	+	65.45	0.61	53.0	ATAD3B
chr1	gene	1419008	1419954	+	54.65	0.61	43.0	ATAD3B
chr1	transcript	1419008	1419954	+	54.65	0.61	43.0	ATAD3B
chr1	exon	1419008	1419954	+	54.65	0.61	43.0	ATAD3B
chr1	gene	1451052	1451822	+	58.44	0.61	38.0	ATAD3A
chr1	transcript	1451052	1451822	+	58.44	0.61	38.0	ATAD3A
chr1	gene	1591627	1592243	+	53.73	0.77	34.0	RP11-345P4.10
